JarID,SealedShut,chryseobacterium_20D,pseudomonas_BTB45,rhodococcus_24G,burk_NA,treatment_type,treatment_name,feeding,notes,growth_plate_count,keep,CV_well_membrane1_methanol,CV_well_mebrane2,CV_membrane1_methanol,CV_membrane2,Adj_cv_membrane1_methanol,Adj_cv_membrane2
1,N,0,0,0,0,none,control,I,,0,y,A7,E7,0.142,0.142,-0.005333333,-0.000333333
2,N,0,0,0,0,none,control,I,,0,y,A8,E8,0.148,0.146,-0.0015,0.003666667
3,N,1,0,0,0,mono,chryseo,I,,1,y,A9,E9,0.199,0.154,0.0495,0.011666667
4,N,0,0,1,0,mono,rhodo,I,,1,y,A10,E10,0.151,0.158,0.0015,0.015666667
5,lip,0,0,1,0,mono,rhodo,I,,1,y,A11,E11,0.148,0.164,-0.0015,0.021666667
6,N,1,0,0,0,mono,chryseo,I,,1,y,B7,F7,0.176,0.242,0.0265,0.099666667
7,N,0,1,0,0,mono,pseudo,I,,1,y,B8,F8,0.169,0.203,0.0195,0.060666667
8,thread,0,0,0,1,mono,burk,I,,0,n,B9,F9,0.152,0.144,0.0025,0.001666667
9,N,0,1,0,0,mono,pseudo,I,,2,n,B10,F10,0.17,0.194,0.0205,0.051666667
10,N,0,0,0,0,none,control,I,,0,y,B11,F11,0.158,0.139,0.0085,-0.003333333
11,N,1,1,1,1,quad,mixed,I,,many,y,C7,G7,0.848,0.652,0.6985,0.509666667
12,N,0,0,0,1,mono,burk,I,,3,n,C8,G8,0.144,0.143,-0.0055,0.000666667
13,N,1,1,1,1,quad,mixed,I,,many,y,C9,G9,0.736,0.703,0.5865,0.560666667
14,N,0,0,0,0,none,control,O,1st inside,0,y,C10,G10,0.152,0.155,0.0025,0.012666667
15,N,0,0,0,1,mono,burk,I,,1,y,C11,G11,0.157,0.144,0.0075,0.001666667
16,N,0,1,0,0,mono,pseudo,I,,1,y,D7,H7,0.652,0.728,0.5025,0.585666667
17,N,0,0,1,0,mono,rhodo,I,,1,y,D8,H8,0.165,0.139,0.0155,-0.003333333
18,N,0,0,0,0,none,control,O,,3,n,D9,H9,0.156,0.125,0.0065,-0.017333333
19,N,1,0,0,0,mono,chryseo,I,,1,y,D10,H10,0.155,0.162,0.0055,0.019666667
20,N,1,1,1,1,quad,mixed,I,,many,y,D11,H11,0.776,0.785,0.6265,0.642666667